What is your gender?,How would you rate your financial situation?,Do you believe in an All Powerful Being?,How often do you use Social Media?,"How much do you agree with the statement : ""There is a special person with whom I can share my joys and sorrows"" ?",How much do you enjoy being around your family and friends?,How often do you wonder what others might think about you?,"How much do you agree with the statement : ""There is someone I can turn to for advice handling problems.""?",To what extent are you willing to move out of your comfort zone?,How often do you wish that everything was different than it currently is?,How has your mood generally been over the past month?,In the past month how often have you felt that things were not going your way?,"In the past month, how often have you been upset about something that happened unexpectedly?","In the past month, how often have you been skeptical about your ability to handle your personal problems?","In the past month, how often have you felt that you were unable to control the important things in your life",During the past 2 weeks how often have you had trouble falling asleep?,During the past 2 weeks how often have you felt tired or had little energy?,"During the past 2 weeks how often have you felt tired or sleepy during the day, even after sleeping the whole night?",Have you ever felt lonely during the past 2 weeks?,During the past 2 weeks how often have you felt afraid without  any good reason?,Depression
Female,Neutral,Maybe,Occasionally,Strongly Agree,Very Much,Often,Agree,Slightly Willing,Sometimes,Good,Very Often,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,Often,Often,1
Male,Neutral,Yes,Sometimes,Agree,Quite a bit,Rarely,Agree,Moderately Willing,Never,Neutral,Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Never,1
Female,Neutral,No,Sometimes,Agree,Very Much,Rarely,Agree,,Never,Good,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Often,Rarely,Never,0
Male,Good,Maybe,Often,Neutral,Quite a bit,Never,Agree,Extremely Willing,Often,Very Poor,Very Often,Very Often,Often,Sometimes,Rarely,Often,Often,Sometimes,Rarely,0
Male,Very Good,Maybe,Very Often,Strongly Agree,Very Much,Never,Strongly Agree,Not at all Willing,Sometimes,Good,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1
Female,Neutral,Yes,Very Often,Strongly Agree,Very Much,Often,Agree,Moderately Willing,Sometimes,Good,Sometimes,Sometimes,Sometimes,Rarely,Often,Sometimes,Sometimes,Often,Rarely,0
Male,Neutral,Yes,Very Often,Agree,Very Much,Rarely,Agree,Slightly Willing,Often,Neutral,Very Often,Rarely,Never,Often,Often,Rarely,Rarely,Never,Never,0
Male,Neutral,Yes,Often,Neutral,Very Much,Never,Agree,Moderately Willing,Always,Good,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Never,Often,1
Male,Good,Yes,Often,Agree,Very Much,Often,Neutral,Very Willing,Rarely,Good,Rarely,Sometimes,Sometimes,Rarely,Never,Sometimes,Never,Sometimes,Never,0
Female,Neutral,Yes,Very Often,Strongly Agree,Very Much,Often,Agree,Moderately Willing,Sometimes,Good,Sometimes,Very Often,Often,Very Often,Sometimes,Often,Sometimes,Sometimes,Rarely,0
Male,Neutral,Maybe,Sometimes,Neutral,Very Much,Sometimes,Neutral,Moderately Willing,Sometimes,Neutral,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,1
Male,Good,Yes,Often,Agree,Very Much,Often,Agree,Moderately Willing,Sometimes,Good,Rarely,Rarely,Sometimes,Sometimes,Often,Sometimes,Sometimes,Never,Never,0
Male,Poor,Maybe,Often,Strongly Disagree,A little,Rarely,Disagree,Extremely Willing,Always,Neutral,Often,Often,Often,Often,Sometimes,Sometimes,Often,Often,Rarely,1
Male,Neutral,Yes,Often,Agree,Very Much,Sometimes,Agree,Slightly Willing,Sometimes,Neutral,Often,Very Often,Very Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,1
Male,Neutral,Yes,Often,Agree,Somewhat,Sometimes,Neutral,Very Willing,Sometimes,Very Poor,Very Often,Very Often,Sometimes,Sometimes,Very Often,Very Often,Sometimes,Very Often,Very Often,0
Female,Neutral,No,Very Often,Strongly Agree,Very Much,Often,Agree,Very Willing,Sometimes,Neutral,Sometimes,Very Often,Often,Very Often,Very Often,Often,Very Often,Very Often,Often,1
Male,Very Poor,Yes,Often,Neutral,Quite a bit,Always,Agree,Moderately Willing,Always,Neutral,Sometimes,Sometimes,Often,Very Often,Rarely,Sometimes,Never,Very Often,Rarely,1
Female,Neutral,Yes,Often,Disagree,Somewhat,Rarely,Agree,Very Willing,Always,Poor,Sometimes,Sometimes,Never,Sometimes,Often,Sometimes,Rarely,Often,Often,0
Male,Neutral,Yes,Never,Agree,Somewhat,Sometimes,Disagree,Slightly Willing,Sometimes,Neutral,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,1
Prefer not to say,Neutral,Maybe,Very Often,Neutral,Very Much,Often,Agree,Very Willing,Always,Good,Sometimes,Rarely,,,,,,,,0
Female,Neutral,Yes,Very Often,Strongly Disagree,Very Much,Rarely,Strongly Agree,Slightly Willing,Sometimes,Very Good,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Never,Never,0
Male,Neutral,Yes,Very Often,Strongly Agree,Quite a bit,Rarely,Strongly Agree,Moderately Willing,Rarely,Good,Sometimes,Rarely,Very Often,Rarely,Very Often,Often,Sometimes,Sometimes,Often,1
Male,Neutral,Yes,Very Often,Neutral,Quite a bit,Always,Strongly Disagree,Very Willing,Sometimes,Neutral,Sometimes,Rarely,Rarely,Rarely,Sometimes,Often,Sometimes,Sometimes,Rarely,1
Male,Very Good,Yes,Very Often,Strongly Agree,Very Much,Often,Agree,Moderately Willing,Sometimes,Good,Sometimes,Rarely,Often,Often,Never,Often,Rarely,Sometimes,Rarely,0
Male,Neutral,Yes,Often,Agree,Very Much,Sometimes,Neutral,Moderately Willing,Sometimes,Poor,Very Often,Very Often,Rarely,Often,Rarely,Sometimes,Rarely,Often,Sometimes,0
Female,Neutral,No,Often,Agree,Very Much,Sometimes,Agree,Very Willing,Sometimes,Good,Rarely,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Never,1
Female,Neutral,Yes,Very Often,Agree,A little,Sometimes,Neutral,Very Willing,Rarely,Very Poor,Sometimes,Sometimes,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1
